clause_text,risk_category
"For Manufacturer's Products that are rechargeable, Manufacturer shall pay Subcontractor a Royalty equal to the higher of (i) one hundred percent (100.0%) of the Product Cost; and (ii) $100 per unit.",Payment Risk
"THIS SECTION 7 SETS FORTH SUBCONTRACTOR'S SOLE AND EXCLUSIVE LIABILITY, AND MANUFACTURER'S SOLE AND EXCLUSIVE REMEDY, AS TO ANY FAILURE OF THE MANUFACTURER'S PRODUCTS TO MEET THE WARRANTY STANDARDS.",Liability Risk
"IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY ""COVER"" DAMAGES (INCLUDING INTERNAL COVER DAMAGES WHICH THE PARTIES AGREE MAY NOT BE CONSIDERED DIRECT DAMAGES), OR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES OF ANY KIND OR NATURE ARISING OUT OF THIS AGREEMENT OR THE SALE OF MANUFACTURER'S PRODUCTS, WHETHER SUCH LIABILITY IS ASSERTED ON THE BASIS OF CONTRACT, TORT (INCLUDING THE POSSIBILITY OF NEGLIGENCE OR STRICT LIABILITY), OR OTHERWISE, EVEN IF THE PARTY HAS BEEN WARNED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE, AND EVEN IF ANY OF THE LIMITED REMEDIES IN THIS AGREEMENT





FAIL OF THEIR ESSENTIAL PURPOSE.",Liability Risk
"Each Party agrees that in the event it violates the provisions of this Section 15.9, it will pay to the other Party as liquidated damages, and not as a penalty, an amount equal to one hundred times (100 X) of any such employee's then-current base annual salary.",Liability Risk
"This Agreement shall continue in force until the earlier to occur of (i) the Owner no longer owns any Receivables or Participation Interests, and (ii) subject to Section 7(d), the delivery of written notice of termination by the Owner to the Servicer pursuant to Section 7(c), in each case upon which event this Agreement shall automatically terminate unless otherwise agreed in writing between the Servicer and the Owner.",Termination Risk
"THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REFERENCE TO ITS CONFLICT OF LAW PROVISIONS (OTHER THAN SECTION 5-1401 OF THE GENERAL OBLIGATIONS LAW), AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",Standard Clause
"Notwithstanding anything to the contrary in this Agreement, both the Owner and Servicer agree that the Agent shall be deemed to be a third-party beneficiary of this Agreement and has the authority to enforce the provisions hereof.",Standard Clause
This Agreement is entered into for an unlimited period of time.,Termination Risk
The term of this Agreement will begin upon acceptance of Affiliate's Program application and will end when terminated by either party of this Agreement.,Termination Risk
"Even in case of agreements with foreign (non-German) Software Publishers and Affiliates, the law of the Federal Republic of Germany applies.",Standard Clause
"Either party may cancel this Agreement at any time, with or without supplying a reason, through written notification or by making suitable settings in the respective Control Panel.",Termination Risk
The Software Publisher and element 5 are authorized to revoke the license granted to the Affiliate at any time by written notice.,Termination Risk
"The percentage of the respective Advertising Cost Compensation shall be stipulated by the Software Publisher, but shall not exceed 50% of the effective gross sales price of the software.",Payment Risk
"For each sale administered by element 5 of the Software under this Agreement, element 5 shall receive an additional service fee of 2% of the gross sales price (including taxes, shipping and handling, etc.) as well as the Advertising Cost Compensation defined in II. § 6 (4) and in addition to VAT or sales tax (where applicable).",Payment Risk
The Advertising Cost Compensation depends on the actual sales generated by end users referred via the electronic advertisement (the Affiliate's link).,Payment Risk
"Instead of fixed compensation, the Affiliate receives result- dependent Advertising Cost Compensation (also known in the element 5 Control Panel as ""Commission"") in exchange for publishing the advertisements.",Payment Risk
"This includes in particular the liability exclusion for lost profit, the loss of data or interruption to or errors in the operation of the Web site of the Affiliate.",Liability Risk
"The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties.",Termination Risk
This Agreement shall be governed and construed in accordance with the laws of New York State   (without regard to the conflict of laws provisions thereof).,Standard Clause
"EXCEPT FOR [**], IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE   OTHER PARTY FOR [**], EVEN IF SUCH PARTY WAS ADVISED OR AWARE OF THE POSSIBILITY OF SUCH   DAMAGES.",Liability Risk
CONFORMIS' LIABILITY ON A PER OCCURRENCE BASIS UNDER SECTION 7.3(A)(IV) SHALL NOT   EXCEED THE GREATER OF (I) $[**] AND (II) THE AMOUNT OF INSURANCE COVERAGE ACTUALLY PAID TO   CONFORMIS UNDER THEN-CURRENT INSURANCE POLICIES OF CONFORMIS IN RESPECT OF SUCH   DAMAGES.,Liability Risk
"Such termination, together with the provisions of Section 5.2 of the License Agreement,   constitutes as Stryker's sole remedy and Conformis' exclusive liability in the event of any such rejection or failure by Conformis to   deliver materially conforming Deliverables hereunder so long as such rejection or failure does not arise from Conformis' fraud,   willful misconduct, gross negligence or bad faith.",Liability Risk
"Notwithstanding   anything to the contrary, Stryker's sole remedy and Conformis' exclusive liability for breach of Section 3.2 with respect to a   Product or a Stryker Product shall be as set forth in Section 10.1(i) of the Distribution Agreement.",Liability Risk
This Agreement shall be governed by and construed in accordance with the laws of the State of Iowa.,Standard Clause
Any Party hereto may terminate this Agreement at any time upon prior written notice.,Termination Risk
"In those states where Broker Dealer has not obtained an insurance license, Broker Dealer represents and   warrants that: it has entered into an insurance networking agreement with the undersigned duly licensed   insurance affiliate(s) to act on its behalf in the capacity of a licensed insurance agent or agency   (""Affiliated Agency"").",Indemnity Risk
"The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.",Termination Risk
The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.,Termination Risk
The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.,Termination Risk
"This Agreement will be governed by and construed in accordance with the laws of the State of New York without regard to its provisions concerning the applicability of the laws of other jurisdictions, and specifically excluding the United Nations Convention on the International Sale of Goods.",Standard Clause
"In lieu of any other royalty, the parties shall share Cash Sales from the sale of such independently developed T&B Products that are generated directly and independently by LEA as follows: [●%] to LEA [●%] to T&B",Payment Risk
"For monthly Cash Sales above [$●] and up to [$●], the Base Royalty paid to T&B by LEA shall be [●%] of the LEA's Cash Sales",Payment Risk
"Marketing Royalty: In consideration of T&B Personality providing commercially reasonable, regular and periodic marketing support to LEA substantially in accordance with Schedule 2 attached to this Agreement and incorporated herein by reference, which LEA agrees to request and accept from T&B consistently during the Term, LEA will pay T&M a royalty in addition to the Base Royalty (""Marketing Royalty"") which shall be comprised of and calculated at [●%] of LEA's Cash Sales made from the sale of Products at live events and [●%] of LEA's Cash Sales made from the sale of Products at on-line webinars",Payment Risk
"The parties acknowledge that the development and fulfillment of such new Products may require substantial time and effort by the T&B Personality to fulfill such new Products such that the Marketing Royalty payable pursuant to V. B., above, is inadequate to compensate T&B Personality; therefore, in lieu of any other royalty, the parties shall share Cash Sales from the sale of such new Products as follows: [●%] to LEA [●%] to T&B",Payment Risk
"In consideration of the License granted and other good and valuable consideration provided by T&B to LEA, LEA shall pay to T&B a base royalty (""Base Royalty"") in the amount of [●%] of LEA's monthly Cash Sales for Cash Sales of up to [$●].",Payment Risk
For monthly Cash Sales above [$●] and up to [$●] the Base Royalty paid to T&B by LEA shall be [●%] of the LEA's Cash Sales,Payment Risk
"For monthly Cash Sales above [$●] and up to [$●] , the Base Royalty paid to T&B by LEA shall be [●%]of the LEA's Cash Sales",Payment Risk
For monthly Cash Sales above [$●]the Base Royalty paid to T&B by LEA shall be [●%] of the LEA's Cash Sales.,Payment Risk
"To facilitate the effective launch of the Business, T&B shall assist LEA by providing the following: o Approved Images § Minimum 5 Hero image/poses (studio or in the field) of Tarek · Full length, 3/4 or straight, waist up and/or chest up o Hi-resolution: 8""x10"" or 5""x 7"" 300 dpi flattened file § File Format: .jpg, .psd, .tiff, .png. o Approved Videos § Minimum 3 Live Workshop Promotion · 1 30 second clip · 1 60 second clip · 1 3-minute video § Minimum 3 Online Workshop Promotion by topic · 1 30 second clip · 1 60 second clip · 1 3-minute video § Minimum 5 Nurturing/Event Reminder- Live and Online (10) · 1 Thank you for registering · 1 Workshop reminder/ content · 1 Motivational- Why/Purpose · 1 Call to action- Show up. Take action by doing. o What they'll learn/expectations · 1 Thank you for pursing education- post event",Payment Risk
"Approved Images § Minimum 5 Photos · Studio or in the field of Tarek o File Format: .jpg, .psd, .tiff, .png. o Approved Copy § Minimum 3 topics to post · 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos § Minimum 3 Videos · 60 seconds to 3 minutes + o Studio or in the field of Tarek · Event promotion, Motivational and Real Estate Content o Personal Post § Minimum 1 social post on all platforms inviting people to events, products or services",Payment Risk
"In consideration of the exclusivity rights granted to LEA, commencing with the seventh (7t h) month of the Term and continuing each year of the Term thereafter, the minimum Royalties payable to T&B each month shall be the greater of the (i) applicable monthly Base Royalty and Marketing Royalty or (ii) $200,000.",Payment Risk
"Approved Copy § Minimum 3 topics to post · 1-2 paragraphs of content o Event promotion, Motivational and Real Estate Content o Approved Videos § Minimum 3 Videos · 60 seconds to 3 minutes + o Studio or in the field of Tarek · Event promotion, Motivational and Real Estate Content",Payment Risk
"Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use, or (2) contact, solicit, or direct any person or entity to contact or solicit, any of the customers of (or customers set forth in the Customer Data) for the purpose of providing any products or services that are the same or similar to the Products; provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.",Payment Risk
LEA shall compensate T&B Personality the sum of [$●] plus first-class air and hotel accommodations for up to three (3) additional persons for each such appearance.,Payment Risk
"T&B Personality shall make six (6) public appearances each year of the Term, including an appearance at LEA's annual Hall of Fame Symposium, for the purpose of promoting the Business, which appearances may include autograph sessions, book signings, appearances at LEA's workshops, seminars and symposiums with each such session not to exceed four (4) hours",Payment Risk
"The parties may also conduct up to 10 ""big stage"" live events each year to market Products. LEA may request T&B Personality to appear at such events for not more than eight (8) hours each, subject to T&B Personality's availability",Payment Risk
"EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES IN CONNECTION WITH CLAIMS SUBJECT TO THE INDEMNIFICATION PROVISIONS OF SECTION 9.1 OR A BREACH OF EITHER PARTY'S OBLIGATIONS UNDER SECTION 5 (CONFIDENTIALITY), NEITHER PARTY WILL, UNDER ANY CIRCUMSTANCES, BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS OR ANY OTHER SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATING TO THIS AGREEMENT EVEN IF THE PARTY HAS BEEN NOTIFIED OF THE POSSIBILITY OF SUCH DAMAGES.",Liability Risk
T&B and Tarek El Moussa shall be named as an additional insured on such insurance and proof of such inclusion shall be provided to T&B.,Indemnity Risk
"In any instance to which such indemnities pertain, LEA shall obtain and maintain necessary insurance, including, without limitation, Commercial General Liability Insurance, including product liability insurance, trademark infringement, copyright infringement, defamation, contractual liability and personal and advertising injury liability insurance in an amount no less than ten million dollars ($10,000,000.00) per occurrence and ten million dollars ($10,000,000.00) aggregate combined single limit.",Indemnity Risk
Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).,Termination Risk
"This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.",Termination Risk
"THIS AGREEMENT, INCLUDING THE RIGHTS AND DUTIES OF THE PARTIES HERETO, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE INTERNAL LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, BUT WITHOUT REGARD TO ANY OTHERWISE APPLICABLE CONFLICTS OF LAW PRINCIPLES).",Standard Clause
"The sole remedy of the Issuer, the Indenture Trustee, the Owner Trustee, and the Secured Parties for any extension, modification, amendment, cancellation or waiver of a Receivable or any terms thereof under Section 3.2(b) or a breach of the covenants made by the Servicer in Section 3.2(c) or (d) is the Servicer's acquisition of the Receivables, as described under this Section 3.3.",Liability Risk
"The Owner Trustee and the Indenture Trustee, for the benefit of the Secured Parties, will be third-party beneficiaries of this Agreement and may enforce this Agreement against the Depositor and the Servicer.",Standard Clause
"The term of this Agreement will commence upon the Effective Date and will continue until the fifth (5th) anniversary of the Effective Date, unless earlier terminated or extended under this Article 8 (the ""Initial Term"").",Termination Risk
"After the Initial Term (including any extension thereto made in accordance with the preceding sentence), the Agreement may be extended on a yearly basis up to ten (10) years at Vericel's sole discretion, with renewal notice to be provided to MediWound no later than twelve (12) months prior to the expiry of any yearly extension (the ""Renewal Term"", and the Initial Term, together with the Renewal Term, if any, the ""Term""); provided that unless otherwise agreed by the Parties, the Term of this Agreement (including the Initial Term, any extension of the Initial Term and any Renewal Terms) shall be no more than fifteen (15) years in total.",Termination Risk
"This Agreement, and all claims arising under or in connection therewith, shall be governed by and interpreted in accordance with the substantive laws of the State of New York, without regard to conflict of law principles thereof.",Standard Clause
"Following the Initial Term, Vericel may, without penalty or prejudice to any other rights or remedies Vericel may have, in its sole discretion terminate or reduce the scope of any individual activities contemplated by this Agreement or any Additional Service or with respect to any Product or terminate this Agreement as a whole with or without cause, upon [***] prior written notice of such termination or reduction (which such written notice may be provided during the Initial Term).",Termination Risk
"To the extent that a delivery is less than [***] but at least [***] of the amount set out on the relevant Purchase Order, Vericel shall accept such delivery and shall be entitled, (A) where commercially reasonable for Vericel, to vary the delivery date agreed between Vericel and MediWound in accordance with Section 2.8 for the immediately following shipment(s) of the applicable Product due to the acceptance of such delivery, and (B) to increase subsequent Purchase Orders with the applicable shortage quantities.",Payment Risk
"If MediWound fails to respond to a Purchase Order that is consistent with the Binding Forecast within [***] after receiving it, Vericel will, within [***] thereafter, confirm with MediWound that such Purchase Order was received by MediWound, and if such Purchase Order is consistent with the Binding Forecast and was properly submitted by Vericel in accordance with this Section 2.8(b), MediWound shall be deemed to have accepted such Purchase Order (""Binding Order"") as of the date of MediWound's receipt of such Purchase Order.",Payment Risk
"In each Calendar Year following Vericel's submission of the first Rolling Forecast, Vericel shall issue Purchase Orders for at least [***] of the quantities of each Product set forth in the current Calendar Year of the Rolling Forecast (as was set forth at the Rolling Forecast submitted immediately prior to the beginning of such Calendar Year).",Payment Risk
"The remaining shelf-life for each Product for the Territory shall be at least [***] of the FDA approved shelf-life of such Product, as measured from the time of delivery of such Product to Vericel (the ""Minimum Shelf Life"").",Payment Risk
"The Parties agree and acknowledge that, as of the Effective Date, MediWound's current Facility can fill orders from Vericel for use in the Territory up to [***] of Intermediate Drug Product, whether provided in that form or in the form of the equivalent amount of Finished Product within a calendar year (""Maximum Capacity"").",Payment Risk
"If a Purchase Order contains quantities of Products in excess of the quantity of such Product forecasted for such quarter (as was set forth at the Rolling Forecast submitted immediately prior to the beginning of such Calendar Year) by an amount greater than [***] of the Binding Forecast (""Excess Amount""), MediWound will accept the Purchase Order up to, but not including the Excess Amount which in any event will not exceed the Maximum Capacity.",Payment Risk
"NEITHER PARTY SHALL BE LIABLE FOR ANY SPECIAL, INCIDENTAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES OF ANY KIND (INCLUDING LOST PROFITS) REGARDLESS OF THE FORM OF ACTION, WHETHER IN CONTRACT, TORT, NEGLIGENCE, BREACH OF STATUTORY DUTY OR OTHERWISE, SUFFERED BY THE OTHER PARTY, EVEN IF THAT PARTY HAS BEEN INFORMED OF THE POSSIBILITY OF ANY SUCH DAMAGES IN ADVANCE. [***].",Liability Risk
"For the duration of this Agreement and for a period of [***] following its termination, each Party agrees to obtain and maintain, during the Term, commercial general liability insurance, including product liability insurance, with reputable and financially secure insurance carriers (or pursuant to a program of self-insurance reasonably satisfactory to the other Party) to cover its indemnification obligations under Section 7.1 or Section 7.2, as applicable, in each case with limits of not less than [***] per occurrence and in the aggregate. Insurance shall be procured with carriers having an A.M. Best Rating of A-VII or better.",Indemnity Risk
The Appointment may be terminated by either party giving the other at least 12 months' notice in writing.,Termination Risk
"This Agreement is governed by and construed in accordance with English law, save where provided otherwise herein.",Standard Clause
15.2 The Company may in its sole and absolute discretion (whether or not any notice of termination has been given under sub clause 15.1) terminate this Agreement at any time and with immediate effect by giving notice in writing to the Executive that the Company is exercising its rights pursuant to this clause 15.,Termination Risk
"In partial spend of the fixed benefits allowance referred to in sub-clause 6.1, the Executive and his spouse or civil partner and any children under the age of 21 (or 24 if in full time education) are entitled to membership of a private medical insurance scheme.",Indemnity Risk
"Participation in all insurance schemes from time to time is subject to: (a) the terms of the relevant insurance scheme, as amended from time to time; (b) the rules or the insurance policy of the relevant insurance provider, or WPP Healthcare Trust as amended from time to time; and (c) the Executive (and where relevant any other potential beneficiary) satisfying the normal underwriting requirements of the relevant insurance provider and the premium being at a rate which the Company considers reasonable.",Indemnity Risk
"The Executive is entitled to membership of a Group income protection plan and life assurance cover, which will be paid for by the Company.",Indemnity Risk
The Company shall have the right at its sole discretion to alter the cover provided or any term of any insurance scheme or to cease to provide (without replacement) any insurance scheme or cover at any time.,Indemnity Risk
"This Agreement shall commence on the Commencement Date and shall continue for a term of ten (10) years, unless previously terminated in  accordance with Clause 15 (Termination).",Termination Risk
This Agreement is governed by English law.,Standard Clause
"This Agreement shall continue in force for a term           of twelve (12) months from the Effective Date, unless terminated           earlier under the provisions of this Article 8 (the ""Term""); PROVIDED           that TouchStar shall have the right to terminate this Agreement at any           time after the Effective Date upon not less than fifteen (15) days'           prior written notice to Reseller.",Termination Risk
"THIS AGREEMENT SHALL BE GOVERNED BY, AND                 CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF COLORADO,                 UNITED STATES, WITHOUT REGARD TO ITS PRINCIPLES REGARDING                 CONFLICT OF LAWS.",Standard Clause
"Reseller acknowledges that meeting the Quotas is an           essential element of this Agreement and that this Agreement may be           terminated by TouchStar if, in TouchStar's reasonable opinion,           Reseller will not meet the Quotas during the Term or any extension           thereof.",Payment Risk
"TouchStar shall provide to Reseller, the Other           Resellers, and its and their employees assistance relating to the           TouchStar Software as reasonably requested by Reseller, but in any           event in an amount not to exceed twenty (20) hours of assistance per           month.",Payment Risk
"THE SOLE OBLIGATION OF           TOUCHSTAR, AND THE SOLE REMEDY OF RESELLER OR ANY OTHER RESELLER,           UNDER THIS AGREEMENT SHALL BE (A) WITH REGARD TO THE TOUCHSTAR           SOFTWARE OR ANY CALL CENTER SYSTEM, THE REPLACEMENT OR REPAIR OF THE           TOUCHSTAR SOFTWARE OR THE CALL CENTER SYSTEM OR, AT THE OPTION OF           TOUCHSTAR, THE RETURN OF THE PURCHASE PRICE PAID BY RESELLER",Liability Risk
"Other than pursuant to this Section                         10.12(b)(v), the arbitration award shall not include any                         indirect, incidental, special, consequential, or                         punitive damages and the arbitrators shall be so                         instructed.",Liability Risk
"TouchStar shall have no liability to           Reseller or any Other Reseller by reason of the termination or           expiration of this Agreement for compensation, reimbursement, or           damages of any kind, including any loss of prospective profits on           anticipated sales, loss of goodwill, or investments made in reliance           on this Agreement.",Liability Risk
"IN NO EVENT SHALL TOUCHSTAR BE LIABLE TO           RESELLER, ANY OTHER RESELLER OR ANY CUSTOMER BY REASON OF ANY           REPRESENTATION OR IMPLIED WARRANTY, CONDITION, OTHER TERM, OR ANY DUTY           AT COMMON LAW, OR UNDER THE TERMS OF THIS AGREEMENT, FOR ANY DIRECT,           INDIRECT, SPECIAL, CONSEQUENTIAL OR PUNITIVE LOSS OR DAMAGE (WHETHER           FOR LOSS OF PROFIT OR OTHERWISE) ARISING OUT OF OR IN CONNECTION WITH           ANY ACT OR OMISSION OF TOUCHSTAR RELATING TO THE DEVELOPMENT,           MANUFACTURE, OR SUPPLY OF THE TOUCHSTAR SOFTWARE, THE SERVICES, OR THE           INSTALLATION OF ANY CALL CENTER SYSTEM, THEIR RESALE BY RESELLER, OR           THEIR USE BY ANY CUSTOMER OR OTHER END USER.",Liability Risk
"THE SOLE OBLIGATION OF           TOUCHSTAR, AND THE SOLE REMEDY OF RESELLER OR ANY OTHER RESELLER,           UNDER THIS AGREEMENT SHALL BE (A) WITH REGARD TO THE TOUCHSTAR           SOFTWARE OR ANY CALL CENTER SYSTEM, THE REPLACEMENT OR REPAIR OF THE           TOUCHSTAR SOFTWARE OR THE CALL CENTER SYSTEM OR, AT THE OPTION OF           TOUCHSTAR, THE RETURN OF THE PURCHASE PRICE PAID BY RESELLER

                                       14

          FOR SUCH TOUCHSTAR SOFTWARE OR CALL CENTER SYSTEM AND (B) WITH REGARD





          TO SERVICES, THE REPERFORMANCE OF THE SERVICES.",Liability Risk
"FOR SUCH TOUCHSTAR SOFTWARE OR CALL CENTER SYSTEM AND (B) WITH REGARD





          TO SERVICES, THE REPERFORMANCE OF THE SERVICES.",Liability Risk
"At a minimum, Reseller will subscribe for and maintain           during the Term and for a period of two (2) years thereafter,           commercial general liability insurance and errors and omission           insurance in minimum amounts of Two Million Dollars (US$2,000,000) per           occurrence.",Indemnity Risk
Reseller will ensure that any persons or entities           engaged by or employed by it will carry and maintain such insurance           coverage.,Indemnity Risk
"Each policy will include a provision requiring notice to the           other party at least thirty (30) days prior to any cancellation,           non-renewal, or material modification of the policy and will require           that each policy will name TouchStar as an additional insured.",Indemnity Risk
This Second Amendment shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.,Standard Clause
"This Amendment shall enter into force on the date of its signature by both Parties and, unless otherwise agreed upon in writing by the Parties through a subsequent amendment to the GMA, shall remain in force for the term of the referenced GMA.",Termination Risk
"Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Amendment in all respects, and any claim or cause of action based upon or arising out of this Amendment, or any dealing between the Parties relating to the subject matter of this Amendment or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Amendment).",Standard Clause
The term of the Agreement will be for 12 months unless terminated sooner.,Termination Risk
The term of the Agreement will be for 12 months unless terminated sooner,Termination Risk
Either party may terminate this Agreement at any time with 30 days written notice.,Termination Risk
Either party may terminate this agreement at any time with 30 days written notice.,Termination Risk
"In consideration for providing these Services, AVDU shall pay UTK $120,000 worth of unregistered shares of common stock (31,413 shares) upon the execution of this Strategic Alliance Agreement.",Payment Risk
"Notwithstanding the foregoing, UTK may assign this Agreement or any portion of its Compensation as outlined herein to its subsidiaries in its sole discretion.",Standard Clause
This Agreement shall be valid for an indefinite period.,Termination Risk
Any lawsuit relating to any matter arising under this Agreement may be initiated in a State or Federal Court located in the Commonwealth of Massachusetts or in any court in the Netherlands having jurisdiction over the matter.,Standard Clause
Dragon may terminate this agreement without cause by giving sixty (60) days written notice to MMI.,Termination Risk
MMI shall not be liable for indirect or consequential damages unless caused by intention or gross negligence.,Liability Risk
"MMI shall at its own expense obtain and maintain with an insurer adequate insurance coverage in respect of any Dragon Systems property under the care, custody or control of MMI.",Indemnity Risk
"To the extent not terminated previously        by AIG pursuant to the foregoing, this Agreement will terminate        automatically one year after the closing of any sale of the Company by        AIG, and all provisions hereof will be of no further force and effect.",Termination Risk
"Unless earlier terminated in accordance with this paragraph 8, this        Agreement shall continue indefinitely.",Termination Risk
"This Agreement shall be governed by and construed in accordance with the        laws of New York, without giving effect to the principles of conflict of        laws.",Standard Clause
"AIG shall have the absolute right        to terminate this Agreement upon thirty (30) days' prior written notice        to the Company, which notice shall state the effective date of        termination (the ""Termination Date""); PROVIDED, HOWEVER, that AIG agrees        not to terminate this Agreement unless (a) AIG significantly modifies        the corporate structure or ownership of the Company, or (b) AIG sells        the Company to an acquirer (i) having a rating from at least one of S&P,        Moody's, A.M. Best or a substitute agency, which is a nationally        recognized statistical rating organization, that is at least equal to        the lower of (x) AIG's then-current rating from such agency or (y) the        Company's then-current rating as supported by this Agreement from such        agency; or (ii) such that, immediately on the effective date of the sale        by AIG of the Company, the Company's capitalization is consistent with        the minimum capital adequacy standards and criteria of at least one of        S&P, Moody's, A.M. Best or a substitute agency, which is a nationally        recognized statistical rating organization, for a rating that is equal        to or better than the Company's then-current rating on the date        immediately preceding such sale.",Termination Risk
"This Agreement does not provide, and is not intended to be        construed or deemed to provide, any policyholder of the Company with        recourse to or against any of the assets of AIG.",Liability Risk
"This Agreement is not, and nothing herein contained and nothing done        pursuant hereto by AIG shall constitute or be construed or deemed to        constitute, an evidence of indebtedness or an obligation or liability of        AIG as guarantor, endorser, surety or otherwise in respect of any        obligation, indebtedness or liability, of any kind whatsoever, of the        Company.",Liability Risk
A *donation of $0.05 per Unit sold of Licensed Products within the Contract Territory payable to the **NFL Alumni Northern California Chapter.,Payment Risk
The NFLA-NC will donate 15% of the above described proceeds to the NFLA.,Payment Risk
"Should either Party herein initiate a legal proceeding for revoking any arbitration result regarding the Contract, both Parties herein agree to take the Miaoli District Court of Taiwan as the competent court of first instance pursuant to the laws of the R.O.C..",Standard Clause
"This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.",Termination Risk
This agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with Ohio law.,Standard Clause
"During the Term, the Supplier shall maintain product liability insurance with a reputable insurer of no less than AU$10 million for any one occurrence for any and all liability (however arising) for a claim that the Products are faulty or defective.",Indemnity Risk
The Supplier shall add the distributor to their current insurance certificate.,Indemnity Risk
"This Agreement shall become effective as of the date first set forth above, and shall  continue in full force and effect until terminated as provided below.",Termination Risk
The services described herein to be provided by Agency shall begin upon execution and delivery of the  Outsourcing Agreement and shall continue until termination of Contractor's activities to administer the Notes thereunder.,Termination Risk
"This Agreement shall be governed by and construed in accordance with the laws of the State of  Minnesota, without regard to conflict of law principles.",Standard Clause
The Contractor will have the ability to terminate this Agreement by giving 90 days' prior written notice to the  Company.,Termination Risk
The Company will have the ability to terminate this Agreement by giving 60 days' prior  written notice to the Contractor.,Termination Risk
"The Company or the Contractor may terminate this Agreement at any time in whole or in part as more  specifically provided below, and in such case, the Contractor will be paid fees incurred up to the date of such termination plus its expenses  accrued as of such date within 30 days of such termination.",Termination Risk
"In consideration of the agreement of the Contractor to provide its services as set forth in this  Agreement, the Company will pay the Contractor the following amounts:     (i) a monthly service fee of $7.50 per note based on the maximum number of notes outstanding during the  month, subject to a monthly minimum of $2,500;",Payment Risk
"The Contractor maintains insurance, which is in full force and effect, with insurers of recognized financial responsibility of  the types and in the amounts generally deemed adequate for its business and, to the best of the Contractor's knowledge, in line with  the insurance maintained by similar companies and businesses; and the Contractor has no reason to believe that it will not be able to  renew its existing insurance coverage as and when such coverage expires or obtain similar coverage from similar insurers as may be  necessary to continue its business at a cost that would not materially and adversely affect the financial condition or business  operations of the Contractor.",Indemnity Risk
